"1996-1997 County To County Migration Inflows",,,,,,Montana,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,
,,,,,,,,
"Migration into",,"Migration from",,,,Number,Number,Aggregate
Montana,,,,,,of,of,adjusted
State,County,State,County,State,"State totals, county totals,",Returns,Exemptions,Gross
"FIPS Code",,,,,"and county by county detail",,,Income
,,,,,,,,
30,009,59,003,DS,"Other Flows - Midwest",38,75,1623
30,009,59,005,DS,"Other Flows - South",28,49,931
30,009,59,007,DS,"Other Flows - West",84,173,2201
30,011,96,000,MT,"Carter County Tot Mig-US & For",34,83,494
30,011,97,000,MT,"Carter County Tot Mig-US",34,83,494
30,011,97,001,MT,"Carter County Tot Mig-Same St",16,43,208
30,011,97,003,MT,"Carter County Tot Mig-Diff St",18,40,285
30,011,30,011,MT,"Carter County Non-Migrants",431,1047,8979
30,011,58,000,SS,"Other Flows - Same State",16,43,208
30,011,59,000,DS,"Other Flows - Diff State",18,40,285
30,013,96,000,MT,"Cascade County Tot Mig-US & For",2245,4533,51115
30,013,97,000,MT,"Cascade County Tot Mig-US",2091,4140,47700
30,013,97,001,MT,"Cascade County Tot Mig-Same St",724,1401,15135
30,013,97,003,MT,"Cascade County Tot Mig-Diff St",1367,2739,32565
30,013,98,000,MT,"Cascade County Tot Mig-Foreign",154,393,3415
30,013,30,013,MT,"Cascade County Non-Migrants",27484,61488,920666
30,013,57,005,FR,"Foreign - APO/FPO ZIPs",142,366,3145
30,013,30,049,MT,"Lewis And Clark Coun",80,162,1680
30,013,30,063,MT,"Missoula County",79,130,1687
30,013,30,111,MT,"Yellowstone County",60,114,1491
30,013,30,041,MT,"Hill County",57,124,1177
30,013,30,031,MT,"Gallatin County",53,93,1008
30,013,30,029,MT,"Flathead County",41,71,935
30,013,08,041,CO,"El Paso County",37,97,1151
30,013,53,033,WA,"King County",37,54,886
30,013,30,099,MT,"Teton County",35,68,963
30,013,30,015,MT,"Chouteau County",34,68,972
30,013,30,027,MT,"Fergus County",31,65,391
30,013,30,035,MT,"Glacier County",27,71,321
30,013,30,093,MT,"Silver Bow County",27,42,571
30,013,53,063,WA,"Spokane County",26,50,868
30,013,06,073,CA,"San Diego County",25,62,939
30,013,06,083,CA,"Santa Barbara County",23,50,625
30,013,48,029,TX,"Bexar County",22,52,389
30,013,32,003,NV,"Clark County",21,48,-220
30,013,04,013,AZ,"Maricopa County",20,34,560
30,013,30,081,MT,"Ravalli County",19,32,371
30,013,56,021,WY,"Laramie County",19,51,706
30,013,53,053,WA,"Pierce County",18,43,511
30,013,30,073,MT,"Pondera County",17,39,308
30,013,06,037,CA,"Los Angeles County",14,27,397
30,013,38,101,ND,"Ward County",14,37,354
30,013,02,020,AK,"Anchorage Borough",13,29,467
30,013,30,005,MT,"Blaine County",13,23,261
30,013,30,021,MT,"Dawson County",13,26,215
30,013,30,105,MT,"Valley County",12,24,252
30,013,38,035,ND,"Grand Forks County",12,25,332
30,013,49,035,UT,"Salt Lake County",11,25,227
30,013,53,061,WA,"Snohomish County",11,24,214
30,013,08,005,CO,"Arapahoe County",10,23,459
30,013,12,091,FL,"Okaloosa County",10,22,272
30,013,58,000,SS,"Other Flows - Same State",126,249,2533
30,013,59,000,DS,"Other Flows - Diff State",1024,1986,23426
