"1997-1998 County To County Migration  Inflows",,,,,,Connecticut,,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,,
,,,,,,,,,
"Migration into ",,"Migration from",,,,Number,Number,Aggregate,
Connecticut,,,,,,of,of,adjusted,
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross,
"FIPS Code",,,,,"and county by county detail",,,income,
,,,,,,,,,
09,003,25,005,MA,"Bristol County",49,90,2390,
09,003,34,003,NJ,"Bergen County",46,88,2663,
09,003,57,005,FR,"Foreign - APO/FPO ZIPs",46,69,1078,
09,003,12,103,FL,"Pinellas County",43,64,1165,
09,003,06,059,CA,"Orange County",42,61,1849,
09,003,25,001,MA,"Barnstable County",41,58,959,
09,003,34,027,NJ,"Morris County",41,87,4246,
09,003,36,055,NY,"Monroe County",40,74,2106,
09,003,42,003,PA,"Allegheny County",40,67,2588,
09,003,42,101,PA,"Philadelphia County",40,64,1173,
09,003,34,013,NJ,"Essex County",39,61,1778,
09,003,34,023,NJ,"Middlesex County",38,69,2354,
09,003,44,009,RI,"Washington County",38,56,2039,
09,003,13,089,GA,"De Kalb County",37,73,1189,
09,003,24,031,MD,"Montgomery County",37,57,1545,
09,003,53,033,WA,"King County",36,69,1590,
09,003,25,023,MA,"Plymouth County",35,71,1657,
09,003,36,027,NY,"Dutchess County",35,60,1709,
09,003,36,067,NY,"Onondaga County",35,61,1928,
09,003,11,001,DC,"District Of Columbia",31,41,1322,
09,003,23,005,ME,"Cumberland County",31,53,1289,
09,003,50,007,VT,"Chittenden County",31,41,823,
09,003,12,009,FL,"Brevard County",30,50,857,
09,003,24,005,MD,"Baltimore County",30,56,1937,
09,003,25,003,MA,"Berkshire County",30,59,1236,
09,003,12,127,FL,"Volusia County",29,37,616,
09,003,36,029,NY,"Erie County",29,54,1647,
09,003,39,035,OH,"Cuyahoga County",29,46,1903,
09,003,42,091,PA,"Montgomery County",29,67,2636,
09,003,25,011,MA,"Franklin County",28,41,772,
09,003,27,053,MN,"Hennepin County",28,60,2591,
